地区,センター,もやせる,プラスチック製容器包装,紙製容器包装,古紙・古着,金属
橋南地区 東出雲町（下意東、上意東）,松江市,火 金,水,月2 月4,木1 木3,木2
橋南地区 東忌部町,松江市,火 金,木,水2 水4,月1 月3,火1
橋北地区 東奥谷町,松江市,月 木,金,月1 月3,火2 火4,木1
橋北地区 東茶町,松江市,月 木,金,月1 月3,火2 火4,水4
橋南地区 東津田町,松江市,火 金,水,月2 月4,木2 木4,金2
橋北地区 東長江町,松江市,月 木,火,金1 金3,金2 金4,金4
橋北地区 東本町一～五丁目,松江市,月 木,金,月1 月3,火2 火4,水4
橋北地区 東持田町,松江市,月 木,水,火1 火3,木1 木3,月4
橋北地区 比津町,松江市,月 木,火,金1 金3,金2 金4,月1
橋北地区 比津が丘一～五丁目,松江市,月 木,火,金1 金3,金2 金4,月1
橋北地区 福富町,松江市,月 木,水,火1 火3,木1 木3,月4
橋北地区 福原町,松江市,月 木,水,火1 火3,木1 木3,金1
橋南地区 富士見町,松江市,火 金,水,月2 月4,木2 木4,木2
橋南地区 平成町,松江市,火 金,木,水2 水4,月1 月3,水3
橋北地区 北陵町,松江市,月 木,水,火1 火3,木1 木3,月4
橋北地区 法吉町,松江市,月 木,金,月1 月3,火2 火4,木1
橋北地区 母衣町,松江市,月 木,金,月1 月3,火2 火4,水4
橋南地区 本郷町（国道４３２号線から西側）,松江市,火 金,月,木2 木4,水2 水4,火4
橋南地区 本郷町（国道４３２号線から東側）,松江市,火 金,月,木2 木4,水2 水4,水2
橋北地区 本庄町,松江市,月 木,水,火1 火3,木1 木3,金1
橋南地区 馬潟町（国道９号バイパスから北側）,松江市,火 金,水,月2 月4,木2 木4,木2
橋南地区 馬潟町（国道９号バイパスから南側）,松江市,火 金,水,月2 月4,木2 木4,火3
橋北地区 枕木町,松江市,月 木,水,火1 火3,木1 木3,金1
橋南地区 松尾町,松江市,火 金,月,木2 木4,水2 水4,火4
橋北地区 南田町,松江市,月 木,金,水1 水3,火1 火3,月2
橋北地区 美保関町-笠浦,松江市,月 木,火,金2 金4,金1 金3,水1
橋北地区 美保関町-千酌,松江市,月 木,火,金2 金4,金1 金3,水1
橋北地区 美保関町-北浦,松江市,月 木,火,金2 金4,金1 金3,水1
橋北地区 美保関町-稲積,松江市,月 木,火,金2 金4,金1 金3,水1
橋北地区 美保関町-菅浦,松江市,月 木,火,金2 金4,金1 金3,水1
橋北地区 美保関町-片江,松江市,月 木,火,金2 金4,金1 金3,水1
橋北地区 美保関町-笹子,松江市,月 木,火,金2 金4,金1 金3,水1
橋北地区 美保関町-惣津,松江市,月 木,火,金2 金4,金1 金3,水1
橋北地区 美保関町-七類,松江市,月 木,火,金2 金4,金1 金3,水1
橋北地区 美保関町-法田,松江市,月 木,火,金2 金4,金1 金3,水1
橋北地区 美保関町-諸喰,松江市,月 木,火,金2 金4,金1 金3,水1
橋北地区 美保関町-福浦,松江市,月 木,火,金2 金4,金1 金3,水1
橋北地区 美保関町-長浜,松江市,月 木,火,金2 金4,金1 金3,水1
橋北地区 美保関町-男鹿,松江市,月 木,火,金2 金4,金1 金3,水1
橋北地区 美保関町-雲津,松江市,月 木,火,金2 金4,金1 金3,水1
橋北地区 美保関町-海崎,松江市,月 木,火,金2 金4,金1 金3,水1
橋北地区 美保関町-才浦,松江市,月 木,火,金2 金4,金1 金3,水1
橋北地区 美保関町-軽尾,松江市,月 木,火,金2 金4,金1 金3,水1
橋北地区 美保関町-美保関,松江市,月 木,火,金2 金4,金1 金3,水1
橋北地区 美保関町-万原,松江市,月 木,水,火1 火3,木1 木3,金1
橋北地区 美保関町-下宇部尾,松江市,月 木,水,火1 火3,木1 木3,金1
橋北地区 美保関町-森山,松江市,月 木,水,火1 火3,木1 木3,金1
橋北地区 美保関町-宇井,松江市,月 木,水,火1 火3,木1 木3,金1
橋北地区 向島町,松江市,月 木,金,月1 月3,火2 火4,水4
橋南地区 八雲台一・二丁目,松江市,火 金,月,木1 木3,水1 水3,木4
橋南地区 八雲町,松江市,火 金,木,水2 水4,月1 月3,水3
橋南地区 矢田町（国道９号バイパスから北側）,松江市,火 金,水,月2 月4,木2 木4,木2
橋南地区 矢田町（国道９号バイパスから南側）,松江市,火 金,水,月2 月4,木2 木4,火3
橋北地区 八束町,松江市,月 木,水,火1 火3,木1 木3,金1
橋南地区 山代町（国道４３２号線から東側）,松江市,火 金,水,月2 月4,木2 木4,火3
橋南地区 山代町（国道４３２号線から西側）,松江市,火 金,木,水2 水4,月1 月3,水3
橋南地区 八幡町,松江市,火 金,水,月2 月4,木2 木4,木2
橋南地区 横浜町,松江市,火 金,月,木2 木4,水2 水4,火4
橋北地区 米子町,松江市,月 木,金,水1 水3,火1 火3,月2
橋南地区 嫁島町,松江市,火 金,月,木2 木4,水2 水4,木3
橋南地区 和多見町,松江市,月 木,金,木2 木4,水2 水4,木3
