地区;センター;Combustible Waste;Plastic containers and packages;Paper containers and packages;Used Paper and Clothing;Metal Waste
North Side【橋北地区】_Tasumicho（手角町）;松江市;月 木;水;火1 火3;木1 木3;金1
South Side【橋南地区】_Tatemachi（竪町）;松江市;火 金;月;木2 木4;水2 水4;火4
South Side【橋南地区】_Tamayucho（玉湯町）;松江市;火 金;木;火2 火4;月2 月4;月3
South Side【橋南地区】_Tawayamacho（田和山町）;松江市;火 金;木;水2 水4;月1 月3;火1
South Side【橋南地区】_Chikuyacho(North side from R9BP)（竹矢町（国道９号バイパスから北側））;松江市;火 金;水;月2 月4;木2 木4;木2
South Side【橋南地区】_Chikuyacho(South side from R9BP)（竹矢町（国道９号バイパスから南側））;松江市;火 金;水;月2 月4;木2 木4;火3
North Side【橋北地区】_Chidoricho（千鳥町）;松江市;月 木;金;月1 月3;火2 火4;水4
South Side【橋南地区】_Tsudamachi（津田町）;松江市;火 金;月;木2 木4;水2 水4;水2
South Side【橋南地区】_Teramachi（寺町）;松江市;月 木;金;木2 木4;水2 水4;木3
South Side【橋南地区】_Tenjimmachi（天神町）;松江市;月 木;金;木2 木4;水2 水4;木3
North Side【橋北地区】_Dogatacho（堂形町）;松江市;月 木;金;月1 月3;火2 火4;水4
North Side【橋北地区】_Tonomachi（殿町）;松江市;月 木;金;月1 月3;火2 火4;水4
North Side【橋北地区】_Nakaharacho（中原町）;松江市;月 木;金;月1 月3;火2 火4;水4
North Side【橋北地区】_Nagamicho（長海町）;松江市;月 木;水;火1 火3;木1 木3;金1
South Side【橋南地区】_Nadamachi（灘町）;松江市;月 木;金;木2 木4;水2 水4;木3
North Side【橋北地区】_Nampeidai（南平台）;松江市;月 木;火;金1 金3;金2 金4;月1
North Side【橋北地区】_Nishiikumacho（西生馬町）;松江市;月 木;火;金1 金3;金2 金4;月1
South Side【橋南地区】_Nishiimbecho（西忌部町）;松江市;火 金;木;水2 水4;月1 月3;火1
North Side【橋北地区】_Nishiocho（西尾町）;松江市;月 木;水;火1 火3;木1 木3;月4
North Side【橋北地区】_Nishikawatsucho(West side from Asakumi Riv.)（西川津町（朝酌川から西側））;松江市;月 木;金;水1 水3;火1 火3;火2
North Side【橋北地区】_Nishikawatsucho(East side from Asakumi Riv.)（西川津町（朝酌川から東側））;松江市;月 木;金;水1 水3;火1 火3;月2
North Side【橋北地区】_Nishidanicho（西谷町）;松江市;月 木;火;金1 金3;金2 金4;金4
North Side【橋北地区】_Nishichamachi（西茶町）;松江市;月 木;金;月1 月3;火2 火4;水4
South Side【橋南地区】_Nishitsuda 1,2,7,8-chome（西津田一・二・七・八丁目）;松江市;火 金;月;木2 木4;水2 水4;水2
South Side【橋南地区】_Nishitsuda 3 to 6,9,10-chome（西津田三～六・九・十丁目）;松江市;火 金;月;木1 木3;水1 水3;金3
North Side【橋北地区】_Nishinagaecho（西長江町）;松江市;月 木;火;金1 金3;金2 金4;金4
North Side【橋北地区】_Nishihamasadacho（西浜佐陀町）;松江市;月 木;火;金1 金3;金2 金4;金4
North Side【橋北地区】_Nishihokkicho（西法吉町）;松江市;月 木;金;月1 月3;火2 火4;木1
North Side【橋北地区】_Nishimochidacho（西持田町）;松江市;月 木;金;水1 水3;火1 火3;火2
South Side【橋南地区】_Nishiyomeshima 1 to 3-chome（西嫁島一～三丁目）;松江市;火 金;月;木2 木4;水2 水4;木3
South Side【橋南地区】_Nogifukutomicho（乃木福富町）;松江市;火 金;木;水2 水4;月1 月3;火1
South Side【橋南地区】_Noshiracho（乃白町）;松江市;火 金;木;水2 水4;月1 月3;火1
North Side【橋北地区】_Nobaracho（野原町）;松江市;月 木;水;火1 火3;木1 木3;金1
South Side【橋南地区】_Hachikenyamachi（八軒屋町）;松江市;月 木;金;木2 木4;水2 水4;木3
North Side【橋北地区】_Hamasadacho（浜佐田町）;松江市;月 木;火;金1 金3;金2 金4;月1
South Side【橋南地区】_Hamanogi 1,2-chome（浜乃木一･二丁目）;松江市;火 金;月;木2 木4;水2 水4;火4
South Side【橋南地区】_Hamanogi（浜乃木町）;松江市;火 金;木;水2 水4;月1 月3;火1
South Side【橋南地区】_Hamanogi 3 to 8-chome（浜乃木三～八丁目）;松江市;火 金;木;水2 水4;月1 月3;火1
South Side【橋南地区】_Higashiasahimachi（東朝日町）;松江市;月 木;金;木2 木4;水2 水4;木3
North Side【橋北地区】_Higashiikumacho（東生馬町）;松江市;月 木;火;金1 金3;金2 金4;月1
South Side【橋南地区】_Higashiizumocho Suta（東出雲町-須田）;松江市;火 金;月;木2 木4;月2 月4;火3
South Side【橋南地区】_Higashiizumocho Uchiuma（東出雲町-内馬）;松江市;火 金;月;木2 木4;月2 月4;火3
South Side【橋南地区】_Higashiizumocho Kasuga（東出雲町-春日）;松江市;火 金;月;木2 木4;月2 月4;火3
South Side【橋南地区】_Higashiizumocho Imamiya（東出雲町-今宮）;松江市;火 金;月;木2 木4;月2 月4;火3
South Side【橋南地区】_Higashiizumocho Adakae（東出雲町-出雲郷）;松江市;火 金;月;木2 木4;月2 月4;火3
South Side【橋南地区】_Higashiizumocho Nishikishimmachi 1 to 8-chome（東出雲町-錦新町１～８丁目）;松江市;火 金;月;木2 木4;月2 月4;火3
South Side【橋南地区】_Higashiizumocho Iunan 1 to 6-chome（東出雲町-意宇南１～６丁目）;松江市;火 金;月;木2 木4;月2 月4;火3
South Side【橋南地区】_Higashiizumocho Iuhigashi 1 to 3-chome（東出雲町-意宇東１～３丁目）;松江市;火 金;月;木2 木4;月2 月4;火3
